inserttime,period,position,balance,profitloss,status
12/12/22 19:05,0,long,100,0,live
12/12/22 20:08,1,long,100.0182195,0.018219511,exited
12/12/22 21:20,2,long,100.0182195,0.018219511,exited
12/12/22 22:32,3,long,100.0182195,0.018219511,exited
12/12/22 23:34,4,long,100.0182195,0.018219511,exited
12/13/22 0:35,5,long,100.0182195,0.018219511,exited
12/13/22 1:35,6,long,100.0182195,0.018219511,exited
12/13/22 2:32,7,long,100.0182195,0.018219511,exited
12/13/22 3:30,8,long,100.0182195,0.018219511,exited
12/13/22 4:26,9,long,100.0182195,0.018219511,exited
