inserttime,period,position,balance,profitloss,status
12/12/22 19:05,0,short,100,0,live
12/12/22 20:08,1,short,199.9898332,0.010166846,live
12/12/22 21:20,2,short,299.9837691,0.016230863,live
12/12/22 22:32,3,short,399.9804675,0.019532457,live
12/12/22 23:34,4,short,400.0443765,-0.044376516,live
12/13/22 0:35,5,short,400.1385203,-0.138520333,live
12/13/22 1:35,6,short,500.0638161,-0.063816094,live
12/13/22 2:32,7,short,500.2937225,-0.293722473,live
12/13/22 3:30,8,short,500.4994313,-0.499431349,exited
12/13/22 4:26,9,short,500.4994313,-0.499431349,exited
