inserttime,period,position,balance,profitloss,status
12/12/22 19:05,0,long,100,0,live
12/12/22 20:08,1,long,100.0072825,0.007282542,live
12/12/22 21:20,2,long,100.0126192,0.012619247,live
12/12/22 22:32,3,long,200.0047682,0.00476821,live
12/12/22 23:34,4,long,299.9744137,-0.025586303,live
12/13/22 0:35,5,long,399.9496201,-0.05037995,live
12/13/22 1:35,6,long,499.9365534,-0.063446557,live
12/13/22 2:32,7,long,599.8078566,-0.192143439,live
12/13/22 3:30,8,long,600.1353296,0.135329601,live
12/13/22 4:26,9,long,700.0819513,0.081951257,live
