inserttime,period,position,balance,profitloss,status
12/12/22 19:05,0,long,100,0,live
12/12/22 20:08,1,long,199.9951554,-0.004844558,live
12/12/22 21:20,2,long,299.9827333,-0.017266721,live
12/12/22 22:32,3,long,399.9687562,-0.031243761,live
12/12/22 23:34,4,long,399.9718615,-0.028138468,live
12/13/22 0:35,5,long,399.9787654,-0.021234567,exited
12/13/22 1:35,6,long,399.9787654,-0.021234567,exited
12/13/22 2:32,7,long,399.9787654,-0.021234567,exited
12/13/22 3:30,8,long,399.9787654,-0.021234567,exited
12/13/22 4:26,9,long,399.9787654,-0.021234567,exited
