inserttime,period,position,balance,profitloss,status
12/12/22 19:05,0,long,100,0,live
12/12/22 20:08,1,long,100.0120577,0.012057693,live
12/12/22 21:20,2,long,100.0389186,0.038918597,live
12/12/22 22:32,3,long,200.0183426,0.01834255,live
12/12/22 23:34,4,long,299.9919034,-0.008096559,live
12/13/22 0:35,5,long,399.8616438,-0.138356165,live
12/13/22 1:35,6,long,499.8312823,-0.168717714,live
12/13/22 2:32,7,long,599.5964788,-0.403521245,live
12/13/22 3:30,8,long,599.7728501,-0.227149914,live
12/13/22 4:26,9,long,600.1434366,0.143436577,live
