inserttime,period,maximum,minimum,mean,volatility,fd,return
12/4/22 22:40,1,1.05805,1.057635,1.057849666,0.000415,0,0
12/4/22 22:47,2,1.05835,1.057825,1.058121264,0.000525,617142.8571,0.000256746
12/4/22 22:53,3,1.05845,1.058005,1.058186542,0.000445,811235.9551,6.17E-05
12/4/22 23:00,4,1.05845,1.05795,1.058134264,0.0005,716000,-4.94E-05
12/4/22 23:07,5,1.05825,1.057925,1.058024958,0.000325,1110769.231,-0.0001033
12/4/22 23:13,6,1.05845,1.05805,1.05820875,0.0004,1202500,0.000173712
12/4/22 23:20,7,1.05845,1.05795,1.058112111,0.0005,780000,-9.13E-05
12/4/22 23:27,8,1.05835,1.05791,1.058080278,0.00044,650000,-3.01E-05
12/4/22 23:34,9,1.05835,1.05795,1.058100153,0.0004,1005000,1.88E-05
12/4/22 23:40,10,1.05815,1.05761,1.057898417,0.00054,738888.8889,-0.000190659
12/4/22 23:46,11,1.05825,1.05785,1.057984875,0.0004,540000,8.17E-05
12/4/22 23:52,12,1.05835,1.05795,1.058137042,0.0004,977500,0.000143827
12/4/22 23:57,13,1.05825,1.057845,1.058020778,0.000405,928395.0617,-0.000109876
12/5/22 0:03,14,1.05835,1.057935,1.058074514,0.000415,1113253.012,5.08E-05
12/5/22 0:09,15,1.05825,1.057945,1.058044083,0.000305,1000000,-2.88E-05
12/5/22 0:15,16,1.05825,1.057935,1.058030375,0.000315,1552380.952,-1.30E-05
12/5/22 0:21,17,1.05815,1.057895,1.057997556,0.000255,1792156.863,-3.10E-05
12/5/22 0:28,18,1.05835,1.05795,1.058127972,0.0004,1570000,0.000123267
12/5/22 0:34,19,1.05855,1.05805,1.058314722,0.0005,712000,0.000176491
12/5/22 0:40,20,1.05855,1.05805,1.058259208,0.0005,622000,-5.25E-05
12/5/22 0:46,21,1.05825,1.057725,1.057946681,0.000525,683809.5238,-0.000295323
12/5/22 0:52,22,1.05795,1.057645,1.057787486,0.000305,793442.623,-0.000150475
12/5/22 0:57,23,1.05835,1.05748,1.057838972,0.00087,547126.4368,4.87E-05
12/5/22 1:04,24,1.05845,1.057735,1.058088833,0.000715,290909.0909,0.0002362
12/5/22 1:09,25,1.05795,1.057495,1.057659486,0.000455,564835.1648,-0.000405776
12/5/22 1:15,26,1.05775,1.05715,1.05745925,0.0006,676666.6667,-0.00018932
12/5/22 1:22,27,1.05765,1.05715,1.057414778,0.0005,518000,-4.21E-05
12/5/22 1:27,28,1.05755,1.057125,1.057341333,0.000425,797647.0588,-6.95E-05
12/5/22 1:34,29,1.05755,1.057125,1.057284569,0.000425,927058.8235,-5.37E-05
12/5/22 1:40,30,1.05785,1.057415,1.057575,0.000435,703448.2759,0.000274695
12/5/22 1:45,31,1.05755,1.05695,1.05721825,0.0006,691666.6667,-0.000337328
12/5/22 1:51,32,1.05745,1.057005,1.057200736,0.000445,555056.1798,-1.66E-05
12/5/22 1:57,33,1.057555,1.056915,1.057208125,0.00064,553125,6.99E-06
12/5/22 2:03,34,1.05715,1.05627,1.056773444,0.00088,359090.9091,-0.000411159
12/5/22 2:10,35,1.05665,1.05625,1.056416778,0.0004,432500,-0.000337505
12/5/22 2:15,36,1.05645,1.05542,1.055900514,0.00103,491262.1359,-0.000488693
12/5/22 2:21,37,1.05655,1.05582,1.056150403,0.00073,284931.5068,0.00023666
12/5/22 2:27,38,1.05655,1.05585,1.056160361,0.0007,348571.4286,9.43E-06
12/5/22 2:34,39,1.05648,1.05572,1.056111153,0.00076,314473.6842,-4.66E-05
12/5/22 2:39,40,1.05655,1.05595,1.056264,0.0006,303333.3333,0.000144726
12/5/22 2:46,41,1.05625,1.05511,1.0556105,0.00114,264035.0877,-0.00061869
12/5/22 2:52,42,1.055285,1.05365,1.054178764,0.001635,127828.7462,-0.001356311
12/5/22 2:58,43,1.054255,1.05305,1.0536945,0.001205,98755.18672,-0.000459375
12/5/22 3:04,44,1.054485,1.05305,1.053778583,0.001435,167944.2509,7.98E-05
12/5/22 3:11,45,1.05465,1.05355,1.054096042,0.0011,148181.8182,0.000301257
12/5/22 3:17,46,1.054675,1.053405,1.053965139,0.00127,220472.4409,-0.000124185
12/5/22 3:24,47,1.054705,1.05391,1.054299903,0.000795,196226.4151,0.000317623
12/5/22 3:31,48,1.05472,1.0541,1.054406319,0.00062,450000,0.000100936
12/5/22 3:37,49,1.05495,1.05425,1.054641208,0.0007,427142.8571,0.000222769
12/5/22 3:43,50,1.054975,1.054475,1.054701569,0.0005,554000,5.72E-05
12/5/22 3:49,51,1.054605,1.05405,1.054362083,0.000555,709909.9099,-0.000321879
12/5/22 3:55,52,1.05535,1.0545,1.055016958,0.00085,424705.8824,0.00062111
12/5/22 4:01,53,1.0557,1.054815,1.055219694,0.000885,281355.9322,0.000192164
12/5/22 4:07,54,1.05605,1.0552,1.055601444,0.00085,272941.1765,0.000361773
12/5/22 4:14,55,1.05595,1.0555,1.055721472,0.00045,517777.7778,0.000113706
12/5/22 4:20,56,1.05665,1.055745,1.056166833,0.000905,501657.4586,0.000421855
12/5/22 4:26,57,1.05655,1.05595,1.056196625,0.0006,345000,2.82E-05
12/5/22 4:32,58,1.056105,1.05545,1.05580875,0.000655,570992.3664,-0.000367237
12/5/22 4:39,59,1.05572,1.05484,1.055269444,0.00088,329545.4545,-0.000510799
12/5/22 4:45,60,1.055565,1.054985,1.055335861,0.00058,405172.4138,6.29E-05
12/5/22 4:51,61,1.055475,1.05503,1.055244736,0.000445,739325.8427,-8.63E-05
12/5/22 4:58,62,1.05595,1.05519,1.055545556,0.00076,577631.5789,0.000285071
12/5/22 5:04,63,1.05615,1.055625,1.055859458,0.000525,449523.8095,0.000297384
12/5/22 5:10,64,1.055995,1.055315,1.055558861,0.00068,645588.2353,-0.000284694
12/5/22 5:17,65,1.05575,1.05475,1.055345319,0.001,325000,-0.000202302
12/5/22 5:23,66,1.05495,1.053335,1.054163306,0.001615,165325.0774,-0.001120026
12/5/22 5:29,67,1.053695,1.05255,1.053022625,0.001145,121397.3799,-0.001082072
12/5/22 5:36,68,1.05305,1.051965,1.052619542,0.001085,193548.3871,-0.000382787
12/5/22 5:42,69,1.05325,1.05252,1.052873264,0.00073,268493.1507,0.000241039
12/5/22 5:49,70,1.0535,1.05285,1.053213528,0.00065,472307.6923,0.000323176
12/5/22 5:55,71,1.05365,1.05295,1.053284986,0.0007,427142.8571,6.78E-05
12/5/22 6:02,72,1.05385,1.053185,1.053518208,0.000665,338345.8647,0.000221424
12/5/22 6:08,73,1.05353,1.05292,1.053256292,0.00061,365573.7705,-0.000248611
12/5/22 6:15,74,1.05425,1.05351,1.053844722,0.00074,512162.1622,0.000558677
12/5/22 6:21,75,1.0554,1.054175,1.054687958,0.001225,251428.5714,0.000800152
12/5/22 6:28,76,1.05625,1.05535,1.055832847,0.0009,197777.7778,0.001085524
12/5/22 6:34,77,1.05595,1.05525,1.055519708,0.0007,325714.2857,-0.00029658
12/5/22 6:40,78,1.05581,1.05525,1.055443278,0.00056,494642.8571,-7.24E-05
12/5/22 6:46,79,1.05655,1.05555,1.055980167,0.001,456000,0.000508686
12/5/22 6:52,80,1.05767,1.056465,1.05682525,0.001205,224066.39,0.000800283
12/5/22 6:59,81,1.057275,1.05637,1.056707069,0.000905,202209.9448,-0.000111826
12/5/22 7:05,82,1.05714,1.05632,1.056730417,0.00082,252439.0244,2.21E-05
12/5/22 7:11,83,1.05734,1.05654,1.056911583,0.0008,300000,0.000171441
12/5/22 7:18,84,1.05695,1.05612,1.056521389,0.00083,315662.6506,-0.000369184
12/5/22 7:24,85,1.05705,1.0561,1.056586736,0.00095,242105.2632,6.19E-05
12/5/22 7:31,86,1.05745,1.05646,1.056871597,0.00099,214141.4141,0.000269605
12/5/22 7:38,87,1.05685,1.05602,1.056388593,0.00083,244578.3133,-0.000457013
12/5/22 7:44,88,1.05665,1.05607,1.056388917,0.00058,451724.1379,3.06E-07
12/5/22 7:51,89,1.05772,1.056535,1.057122458,0.001185,318987.3418,0.000694386
12/5/22 7:57,90,1.05948,1.05725,1.058211194,0.00223,96412.55605,0.001029905
12/5/22 8:04,91,1.05955,1.05855,1.059025764,0.001,110000,0.000769761
12/5/22 8:11,92,1.059405,1.0587,1.059081972,0.000705,341843.9716,5.31E-05
12/5/22 8:18,93,1.05911,1.05812,1.058673264,0.00099,348484.8485,-0.000385908
12/5/22 8:24,94,1.05925,1.05816,1.058715542,0.00109,201834.8624,3.99E-05
12/5/22 8:31,95,1.05905,1.05851,1.058750028,0.00054,427777.7778,3.26E-05
12/5/22 8:38,96,1.05925,1.05824,1.058869389,0.00101,431683.1683,0.000112738
12/5/22 8:45,97,1.05879,1.05753,1.058138875,0.00126,173809.5238,-0.0006899
12/5/22 8:51,98,1.05785,1.056505,1.057107806,0.001345,170260.223,-0.000974418
12/5/22 8:58,99,1.05705,1.056345,1.056668792,0.000705,268085.1064,-0.000415297
12/5/22 9:05,100,1.056695,1.05611,1.056464653,0.000585,475213.6752,-0.000193191
