inserttime,period,maximum,minimum,mean,volatility,fd,return
12/4/22 22:40,1,1.2337,1.2333,1.233500418,0.0004,0,0
12/4/22 22:47,2,1.2341,1.2334,1.233827111,0.0007,685714.2857,0.000264851
12/4/22 22:53,3,1.2342,1.2336,1.23384275,0.0006,345000,1.27E-05
12/4/22 23:00,4,1.2342,1.2336,1.233971528,0.0006,550000,0.000104371
12/4/22 23:07,5,1.23401,1.2336,1.233803806,0.00041,695121.9512,-0.000135921
12/4/22 23:13,6,1.2343,1.2337,1.234001236,0.0006,673333.3333,0.000160018
12/4/22 23:20,7,1.2341,1.2337,1.23389775,0.0004,655000,-8.39E-05
12/4/22 23:27,8,1.23417,1.2335,1.233815,0.00067,656716.4179,-6.71E-05
12/4/22 23:34,9,1.2346,1.2339,1.234334944,0.0007,418571.4286,0.000421412
12/4/22 23:40,10,1.234325,1.23355,1.233998597,0.000775,380645.1613,-0.000272493
12/4/22 23:46,11,1.234165,1.2336,1.233884611,0.000565,357522.1239,-9.24E-05
12/4/22 23:52,12,1.2343,1.234,1.234156208,0.0003,670000,0.000220116
12/4/22 23:57,13,1.23431,1.2339,1.234139042,0.00041,1129268.293,-1.39E-05
12/5/22 0:03,14,1.2344,1.2339,1.234150361,0.0005,922000,9.17E-06
12/5/22 0:09,15,1.2343,1.23372,1.233956361,0.00058,493103.4483,-0.000157193
12/5/22 0:15,16,1.2341,1.2336,1.233774944,0.0005,508000,-0.00014702
12/5/22 0:21,17,1.234005,1.23362,1.233836333,0.000385,755844.1558,4.98E-05
12/5/22 0:28,18,1.2341,1.2336,1.233876861,0.0005,806000,3.28E-05
12/5/22 0:34,19,1.2343,1.2339,1.234145306,0.0004,885000,0.000217562
12/5/22 0:40,20,1.2345,1.233945,1.234182625,0.000555,926126.1261,3.02E-05
12/5/22 0:46,21,1.23415,1.233395,1.233724278,0.000755,491390.7285,-0.000371377
12/5/22 0:52,22,1.2337,1.233225,1.233494681,0.000475,524210.5263,-0.000186101
12/5/22 0:57,23,1.233615,1.232965,1.233273208,0.00065,466153.8462,-0.000179549
12/5/22 1:04,24,1.23358,1.23308,1.233321486,0.0005,756000,3.91E-05
12/5/22 1:09,25,1.2334,1.232755,1.233037264,0.000645,894573.6434,-0.000230453
12/5/22 1:15,26,1.2331,1.2327,1.232901056,0.0004,632500,-0.000110466
12/5/22 1:22,27,1.2333,1.2329,1.233133097,0.0004,1110000,0.000188208
12/5/22 1:27,28,1.2333,1.2326,1.232920583,0.0007,745714.2857,-0.000172337
12/5/22 1:34,29,1.232995,1.232555,1.232739403,0.00044,670454.5455,-0.000146952
12/5/22 1:40,30,1.2332,1.2328,1.23296975,0.0004,1262500,0.000186858
12/5/22 1:45,31,1.233,1.232185,1.232542722,0.000815,476073.6196,-0.000346341
