inserttime,period,maximum,minimum,mean,volatility,fd,return
12/4/22 22:40,1,1.46156105,1.4604938,1.461091156,0.00106725,0,0
12/4/22 22:47,2,1.46156105,1.4602805,1.460662777,0.00128055,339697.7861,-0.000293191
12/4/22 22:53,3,1.46135,1.45985415,1.460638378,0.00149585,188521.5764,-1.67E-05
12/4/22 23:00,4,1.4607071,1.45964105,1.460061635,0.00106605,232634.4918,-0.000394856
12/4/22 23:07,5,1.4613475,1.460205,1.460539589,0.0011425,291466.0832,0.000327351
12/4/22 23:13,6,1.4607071,1.45985415,1.460358662,0.00085295,490063.8959,-0.000123877
12/4/22 23:20,7,1.46115,1.46006725,1.460649114,0.00108275,379589.0095,0.000198891
12/4/22 23:27,8,1.46115,1.460055,1.460519399,0.001095,307762.5571,-8.88E-05
12/4/22 23:34,9,1.46115,1.4604938,1.460792747,0.0006562,513562.9381,0.000187158
12/4/22 23:40,10,1.4619884,1.460865,1.461379501,0.0011234,599964.3938,0.000401669
12/4/22 23:46,11,1.462,1.4609205,1.461558087,0.0010795,346456.6929,0.000122204
12/4/22 23:52,12,1.46177475,1.46113395,1.461427732,0.0006408,536828.9638,-8.92E-05
12/4/22 23:57,13,1.46241605,1.46113395,1.461667245,0.0012821,476561.8906,0.00016389
12/5/22 0:03,14,1.46241605,1.46156105,1.461977067,0.000855,307602.3392,0.000211964
12/5/22 0:09,15,1.46265,1.46155,1.462097039,0.0011,327272.7273,8.21E-05
12/5/22 0:15,16,1.46265,1.46175,1.462233098,0.0009,297777.7778,9.31E-05
12/5/22 0:21,17,1.46241605,1.46155,1.462034518,0.00086605,426072.3977,-0.000135806
12/5/22 0:28,18,1.4622022,1.4613475,1.461629993,0.0008547,436410.4364,-0.000276686
12/5/22 0:34,19,1.4619884,1.4609,1.461419889,0.0010884,321572.9511,-0.000143746
12/5/22 0:40,20,1.46177475,1.460803,1.461255891,0.00097175,310779.5215,-0.000112218
12/5/22 0:46,21,1.46265,1.4613475,1.462034209,0.0013025,269481.7658,0.000532636
12/5/22 0:52,22,1.463272,1.4621914,1.462584456,0.0010806,251712.0118,0.000376357
12/5/22 0:57,23,1.4639146,1.462765,1.463320813,0.0011496,322720.9464,0.000503463
12/5/22 1:04,24,1.4639146,1.4629401,1.463515892,0.0009745,332478.1939,0.000133312
12/5/22 1:09,25,1.46434335,1.46305,1.463738472,0.00129335,313913.4805,0.000152086
12/5/22 1:15,26,1.464435,1.4637,1.463978524,0.000735,391836.7347,0.000163999
12/5/22 1:22,27,1.46412895,1.46325,1.46359283,0.00087895,560896.5243,-0.000263456
12/5/22 1:27,28,1.46434335,1.46325,1.463805072,0.00109335,496638.7708,0.000145015
12/5/22 1:34,29,1.4645578,1.46348615,1.463906728,0.00107165,357392.8055,6.94E-05
12/5/22 1:40,30,1.46415,1.46325,1.463688193,0.0009,421111.1111,-0.000149282
12/5/22 1:45,31,1.46455,1.46348615,1.464018471,0.00106385,412652.1596,0.000225648
12/5/22 1:51,32,1.46435,1.4635,1.463970897,0.00085,351764.7059,-3.25E-05
12/5/22 1:57,33,1.4645578,1.46348615,1.463929555,0.00107165,462837.6802,-2.82E-05
12/5/22 2:03,34,1.46605,1.46434325,1.465121974,0.00170675,199794.9319,0.000814533
12/5/22 2:10,35,1.46670595,1.465385,1.466145701,0.00132095,169574.9271,0.000698732
12/5/22 2:15,36,1.4691407,1.4666305,1.468041813,0.0025102,143813.242,0.001293263
12/5/22 2:21,37,1.468418,1.4662758,1.467438659,0.0021422,76556.81076,-0.000410856
12/5/22 2:28,38,1.46735155,1.465875,1.466640487,0.00147655,119874.0307,-0.000543922
12/5/22 2:34,39,1.46756695,1.46584595,1.466774315,0.001721,158628.7042,9.12E-05
12/5/22 2:39,40,1.4665,1.46563095,1.466046726,0.00086905,245095.2189,-0.000496047
12/5/22 2:46,41,1.4682133,1.466135,1.467248311,0.0020783,257903.0939,0.000819609
12/5/22 2:52,42,1.46911915,1.46755,1.468453855,0.00156915,168243.9537,0.000821636
12/5/22 2:58,43,1.46975,1.4679978,1.468798128,0.0017522,150667.732,0.000234446
12/5/22 3:04,44,1.46999375,1.469025,1.469498891,0.00096875,301419.3548,0.000477099
12/5/22 3:11,45,1.47020985,1.46863365,1.469430258,0.0015762,310239.8173,-4.67E-05
12/5/22 3:17,46,1.4715091,1.468465,1.46991785,0.0030441,143227.8834,0.000331824
12/5/22 3:24,47,1.470405,1.46885,1.469628408,0.001555,115112.5402,-0.000196911
12/5/22 3:31,48,1.470775,1.46929195,1.470198833,0.00148305,240720.1376,0.000388143
12/5/22 3:37,49,1.4706,1.469065,1.469744945,0.001535,215635.1792,-0.000308725
