inserttime,period,maximum,minimum,mean,volatility,fd,return
12/4/22 22:40,1,1.34065,1.33975,1.340282033,0.0009,0,0
12/4/22 22:47,2,1.34065,1.34025,1.340418014,0.0004,497500,0.000101457
12/4/22 22:53,3,1.34065,1.33938,1.3398605,0.00127,423622.0472,-0.000415925
12/4/22 23:00,4,1.33975,1.33925,1.339438694,0.0005,274000,-0.000314813
12/4/22 23:07,5,1.33985,1.339385,1.339573125,0.000465,776344.086,0.000100363
12/4/22 23:13,6,1.33985,1.339345,1.339515292,0.000505,807920.7921,-4.32E-05
12/4/22 23:20,7,1.33975,1.33936,1.339555319,0.00039,823076.9231,2.99E-05
12/4/22 23:27,8,1.339665,1.33935,1.339477347,0.000315,1336507.937,-5.82E-05
12/4/22 23:34,9,1.33975,1.339425,1.339550486,0.000325,1787692.308,5.46E-05
12/4/22 23:40,10,1.34035,1.339645,1.339943667,0.000705,721985.8156,0.000293517
12/4/22 23:46,11,1.34055,1.34015,1.340350764,0.0004,537500,0.000303817
12/4/22 23:52,12,1.34025,1.33985,1.340004819,0.0004,967500,-0.0002581
12/4/22 23:57,13,1.34015,1.33975,1.339955556,0.0004,1020000,-3.68E-05
12/5/22 0:03,14,1.34015,1.33985,1.340020097,0.0003,1380000,4.82E-05
12/5/22 0:09,15,1.34035,1.339895,1.340045653,0.000455,1189010.989,1.91E-05
12/5/22 0:15,16,1.34035,1.33995,1.340164153,0.0004,782500,8.84E-05
12/5/22 0:21,17,1.34035,1.34005,1.340199944,0.0003,953333.3333,2.67E-05
12/5/22 0:28,18,1.34035,1.340045,1.340174194,0.000305,1957377.049,-1.92E-05
12/5/22 0:34,19,1.34035,1.339825,1.340003847,0.000525,967619.0476,-0.000127108
12/5/22 0:40,20,1.34015,1.33961,1.339844806,0.00054,537037.037,-0.000118687
12/5/22 0:46,21,1.34055,1.33985,1.340167139,0.0007,435714.2857,0.000240575
12/5/22 0:52,22,1.34055,1.34005,1.340288458,0.0005,580000,9.05E-05
12/5/22 0:57,23,1.340665,1.340185,1.340431333,0.00048,708333.3333,0.0001066
12/5/22 1:04,24,1.34105,1.340305,1.340653,0.000745,442953.0201,0.00016537
12/5/22 1:09,25,1.34115,1.340635,1.340864222,0.000515,401941.7476,0.000157552
12/5/22 1:15,26,1.34136,1.34079,1.341089875,0.00057,673684.2105,0.000168289
12/5/22 1:22,27,1.34125,1.34085,1.340999778,0.0004,695000,-6.72E-05
12/5/22 1:27,28,1.34135,1.34095,1.341128458,0.0004,910000,9.60E-05
12/5/22 1:34,29,1.34145,1.34105,1.341228194,0.0004,887500,7.44E-05
12/5/22 1:40,30,1.34165,1.341035,1.341252292,0.000615,525203.252,1.80E-05
12/5/22 1:45,31,1.34175,1.341375,1.341563083,0.000375,770666.6667,0.000231718
12/5/22 1:51,32,1.34175,1.34125,1.341492375,0.0005,688000,-5.27E-05
12/5/22 1:57,33,1.34155,1.340845,1.341093597,0.000705,414184.3972,-0.000297264
12/5/22 2:03,34,1.34175,1.340875,1.341225417,0.000875,296000,9.83E-05
12/5/22 2:10,35,1.34205,1.341275,1.341656361,0.000775,229677.4194,0.000321307
12/5/22 2:15,36,1.342795,1.34185,1.34234175,0.000945,216931.2169,0.000510853
12/5/22 2:21,37,1.34245,1.34164,1.342052375,0.00081,256790.1235,-0.000215575
12/5/22 2:28,38,1.34225,1.3416,1.341939569,0.00065,336923.0769,-8.41E-05
12/5/22 2:34,39,1.34225,1.34132,1.341808639,0.00093,236559.1398,-9.76E-05
12/5/22 2:39,40,1.34165,1.34125,1.341424875,0.0004,407500,-0.000286005
12/5/22 2:46,41,1.342335,1.341485,1.341928819,0.00085,484705.8824,0.000375678
12/5/22 2:52,42,1.342775,1.34175,1.342215903,0.001025,253658.5366,0.000213933
12/5/22 2:58,43,1.34255,1.341785,1.342081569,0.000765,186928.1046,-0.000100083
12/5/22 3:04,44,1.343775,1.342245,1.343086792,0.00153,207189.5425,0.000749002
12/5/22 3:11,45,1.34455,1.343175,1.343842208,0.001375,109818.1818,0.000562448
12/5/22 3:17,46,1.344765,1.343365,1.344242389,0.0014,170000,0.000297788
12/5/22 3:24,47,1.34435,1.343455,1.343904167,0.000895,183240.2235,-0.000251608
12/5/22 3:31,48,1.344085,1.34325,1.343641403,0.000835,281437.1257,-0.000195523
12/5/22 3:37,49,1.34385,1.34296,1.343297389,0.00089,269662.9213,-0.000256031
12/5/22 3:43,50,1.34345,1.34279,1.342974958,0.00066,319696.9697,-0.000240029
12/5/22 3:49,51,1.34365,1.342855,1.343273319,0.000795,396226.4151,0.000222164
12/5/22 3:55,52,1.343055,1.342765,1.342915764,0.00029,558620.6897,-0.000266182
12/5/22 4:01,53,1.34335,1.342755,1.343079694,0.000595,1090756.303,0.000122071
12/5/22 4:07,54,1.34335,1.34255,1.342903361,0.0008,421250,-0.00013129
12/5/22 4:14,55,1.34335,1.342755,1.343080597,0.000595,361344.5378,0.00013198
12/5/22 4:20,56,1.34295,1.34214,1.342546972,0.00081,395061.7284,-0.000397314
12/5/22 4:26,57,1.342585,1.34211,1.342335222,0.000475,416842.1053,-0.000157723
12/5/22 4:32,58,1.34265,1.342315,1.342465083,0.000335,853731.3433,9.67E-05
12/5/22 4:39,59,1.34305,1.34234,1.342715028,0.00071,880281.6901,0.000186183
12/5/22 4:45,60,1.342765,1.342145,1.342450139,0.00062,411290.3226,-0.000197279
12/5/22 4:51,61,1.342505,1.34185,1.342249431,0.000655,435114.5038,-0.000149509
12/5/22 4:58,62,1.34245,1.341925,1.342159306,0.000525,523809.5238,-6.71E-05
12/5/22 5:04,63,1.34215,1.341435,1.341789028,0.000715,430769.2308,-0.000275882
12/5/22 5:10,64,1.34205,1.341545,1.341741403,0.000505,429702.9703,-3.55E-05
12/5/22 5:17,65,1.34205,1.34135,1.341581681,0.0007,481428.5714,-0.000119041
12/5/22 5:23,66,1.34315,1.341925,1.342332264,0.001225,265306.1224,0.000559476
