inserttime,period,maximum,minimum,mean,volatility,fd,return
12/4/22 22:40,1,0.9349,0.93459105,0.934739782,0.00030895,0,0
12/4/22 22:47,2,0.934805,0.9344,0.934569313,0.000405,1264197.531,-0.00018237
12/4/22 22:53,3,0.9348156,0.9344,0.93457832,0.0004156,1152550.529,9.64E-06
12/4/22 23:00,4,0.9348,0.9344,0.93455277,0.0004,1157500,-2.73E-05
12/4/22 23:07,5,0.9348,0.93448,0.934576617,0.00032,1453125,2.55E-05
12/4/22 23:13,6,0.9347,0.9343,0.934465463,0.0004,1232500,-0.000118935
12/4/22 23:20,7,0.934735,0.9343,0.93453877,0.000435,1287356.322,7.84E-05
12/4/22 23:27,8,0.9348,0.93439625,0.934610136,0.00040375,933746.13,7.64E-05
12/4/22 23:34,9,0.935,0.93455,0.934796644,0.00045,824444.4444,0.000199557
12/4/22 23:40,10,0.9352,0.93471445,0.934978952,0.00048555,988569.6633,0.000195024
12/4/22 23:46,11,0.9351,0.9347,0.934982514,0.0004,1055000,3.81E-06
12/4/22 23:52,12,0.9349,0.9345403,0.93474683,0.0003597,1320544.899,-0.000252073
12/4/22 23:57,13,0.9351,0.9346,0.934806091,0.0005,1196000,6.34E-05
12/5/22 0:03,14,0.9351,0.93469,0.934886112,0.00041,960975.6098,8.56E-05
12/5/22 0:09,15,0.9352,0.9348,0.935022783,0.0004,1032500,0.00014619
12/5/22 0:15,16,0.9353,0.9348,0.934995287,0.0005,910000,-2.94E-05
12/5/22 0:21,17,0.9351,0.9348,0.934956865,0.0003,1153333.333,-4.11E-05
12/5/22 0:28,18,0.9351,0.9346,0.934788374,0.0005,1084000,-0.000180213
12/5/22 0:34,19,0.9349,0.9344,0.934622728,0.0005,740000,-0.000177201
12/5/22 0:40,20,0.9347,0.9343,0.934491717,0.0004,930000,-0.000140176
12/5/22 0:46,21,0.93489135,0.9344,0.93466045,0.00049135,952477.8671,0.000180561
12/5/22 0:52,22,0.9352,0.9347,0.934970735,0.0005,826000,0.000331976
12/5/22 0:57,23,0.9353,0.9348,0.935101209,0.0005,634000,0.000139549
12/5/22 1:04,24,0.9352,0.9347,0.934933291,0.0005,772000,-0.000179572
12/5/22 1:09,25,0.9352,0.9348,0.935033714,0.0004,880000,0.000107411
