inserttime,period,maximum,minimum,mean,volatility,fd,return
12/4/22 22:40,1,7.77205,7.771015,7.77139805,0.001035,0,0
12/4/22 22:47,2,7.77155,7.770465,7.771255514,0.001085,416589.8618,-1.83E-05
12/4/22 22:53,3,7.77155,7.770655,7.771319431,0.000895,372067.0391,8.22E-06
12/4/22 23:00,4,7.77201,7.7706,7.771416083,0.00141,356737.5887,1.24E-05
12/4/22 23:07,5,7.77205,7.771365,7.771802208,0.000685,264233.5766,4.97E-05
12/4/22 23:13,6,7.77195,7.76752,7.770362125,0.00443,103386.0045,-0.000185296
12/4/22 23:20,7,7.77033,7.766765,7.767841528,0.003565,23842.91725,-0.000324386
12/4/22 23:27,8,7.770485,7.768215,7.769753431,0.00227,72687.22467,0.000246131
12/4/22 23:34,9,7.77051,7.769425,7.769868792,0.001085,241474.6544,1.48E-05
12/4/22 23:40,10,7.76976,7.76942,7.769583889,0.00034,544117.6471,-3.67E-05
12/4/22 23:46,11,7.76975,7.767475,7.769441931,0.002275,299340.6593,-1.83E-05
12/4/22 23:52,12,7.76888,7.767565,7.768334681,0.001315,64638.78327,-0.000142513
12/4/22 23:57,13,7.76915,7.768195,7.768743306,0.000955,206282.7225,5.26E-05
12/5/22 0:03,14,7.76865,7.767815,7.768168958,0.000835,307784.4311,-7.39E-05
12/5/22 0:09,15,7.76805,7.767585,7.767893986,0.000465,331182.7957,-3.54E-05
12/5/22 0:15,16,7.76789,7.766725,7.767352639,0.001165,557939.9142,-6.97E-05
12/5/22 0:21,17,7.76697,7.765005,7.766386722,0.001965,204580.1527,-0.000124356
12/5/22 0:28,18,7.765375,7.764095,7.765030264,0.00128,125000,-0.000174658
12/5/22 0:34,19,7.764215,7.761335,7.762710569,0.00288,126388.8889,-0.000298736
12/5/22 0:40,20,7.76385,7.76265,7.763478097,0.0012,60000,9.89E-05
12/5/22 0:46,21,7.76645,7.763345,7.764880653,0.003105,98872.78583,0.000180661
12/5/22 0:52,22,7.76635,7.7655,7.765843222,0.00085,80000,0.000123964
12/5/22 0:57,23,7.766545,7.765545,7.765778139,0.001,253000,-8.38E-06
12/5/22 1:04,24,7.76675,7.76615,7.76654075,0.0006,283333.3333,9.82E-05
12/5/22 1:09,25,7.768475,7.766645,7.767132986,0.00183,201639.3443,7.63E-05
12/5/22 1:15,26,7.76895,7.768135,7.768514361,0.000815,123926.3804,0.000177849
12/5/22 1:22,27,7.76905,7.768645,7.768813681,0.000405,600000,3.85E-05
12/5/22 1:27,28,7.76929,7.765945,7.768192653,0.003345,171001.4948,-7.99E-05
12/5/22 1:34,29,7.76945,7.768255,7.768553333,0.001195,66945.60669,4.64E-05
12/5/22 1:40,30,7.76855,7.76794,7.768265222,0.00061,327868.8525,-3.71E-05
12/5/22 1:45,31,7.76915,7.767935,7.768661861,0.001215,373662.5514,5.11E-05
12/5/22 1:51,32,7.76945,7.767945,7.768837903,0.001505,238538.206,2.27E-05
12/5/22 1:57,33,7.76935,7.767825,7.768931306,0.001525,127868.8525,1.20E-05
12/5/22 2:03,34,7.76815,7.76718,7.767760069,0.00097,241237.1134,-0.000150759
12/5/22 2:10,35,7.76795,7.767415,7.767622444,0.000535,433644.8598,-1.77E-05
12/5/22 2:15,36,7.76785,7.767425,7.767636792,0.000425,896470.5882,1.85E-06
12/5/22 2:21,37,7.76994,7.767625,7.768428083,0.002315,198704.1037,0.00010187
12/5/22 2:28,38,7.770315,7.767725,7.768375486,0.00259,88416.98842,-6.77E-06
12/5/22 2:34,39,7.769365,7.76805,7.768733653,0.001315,125475.2852,4.61E-05
12/5/22 2:39,40,7.769295,7.76865,7.768907389,0.000645,488372.093,2.24E-05
12/5/22 2:46,41,7.76935,7.76855,7.768971917,0.0008,660000,8.31E-06
12/5/22 2:52,42,7.76898,7.768185,7.768503444,0.000795,811320.7547,-6.03E-05
12/5/22 2:58,43,7.76866,7.76815,7.768314764,0.00051,543137.2549,-2.43E-05
12/5/22 3:04,44,7.76885,7.768235,7.768497708,0.000615,600000,2.36E-05
12/5/22 3:11,45,7.770645,7.76865,7.769318542,0.001995,258646.6165,0.000105662
12/5/22 3:17,46,7.770715,7.768575,7.769960181,0.00214,100934.5794,8.26E-05
12/5/22 3:24,47,7.77025,7.769025,7.769926778,0.001225,128163.2653,-4.30E-06
