inserttime,period,maximum,minimum,mean,volatility,fd,return
12/4/22 22:40,1,1.5540019,1.55334,1.5537281,0.0006619,0,0
12/4/22 22:47,2,1.55401,1.55305,1.553357774,0.00096,158333.3333,-0.000238347
12/4/22 22:53,3,1.5536,1.55279535,1.553253521,0.00080465,164046.4798,-6.71E-05
12/4/22 23:00,4,1.55353,1.55283,1.553189586,0.0007,182857.1429,-4.12E-05
12/4/22 23:07,5,1.55363,1.5530483,1.5533401,0.0005817,216606.4982,9.69E-05
12/4/22 23:13,6,1.55322,1.55218,1.552505034,0.00104,191346.1538,-0.000537594
12/4/22 23:20,7,1.55259,1.55207235,1.552413517,0.00051765,198976.1422,-5.89E-05
12/4/22 23:27,8,1.55319,1.55208,1.552620726,0.00111,175675.6757,0.000133476
12/4/22 23:34,9,1.5533619,1.5529,1.553069614,0.0004619,140723.1002,0.000289116
12/4/22 23:40,10,1.55420685,1.55314,1.55367575,0.00106685,255893.5183,0.000390283
12/4/22 23:46,11,1.55459,1.55406,1.554353848,0.00053,147169.8113,0.000436448
12/4/22 23:52,12,1.55486,1.55421,1.554479663,0.00065,195384.6154,8.09E-05
12/4/22 23:57,13,1.55527045,1.5545,1.554871476,0.00077045,167434.6161,0.000252054
12/5/22 0:03,14,1.55541,1.55474,1.555090348,0.00067,189552.2388,0.000140766
12/5/22 0:09,15,1.55524,1.55483,1.555086984,0.00041,312195.122,-2.16E-06
12/5/22 0:15,16,1.55537,1.55483,1.555126241,0.00054,387037.037,2.52E-05
12/5/22 0:21,17,1.5554522,1.55483,1.555243441,0.0006222,289296.0463,7.54E-05
12/5/22 0:28,18,1.55527,1.55401,1.554508931,0.00126,175396.8254,-0.000472279
12/5/22 0:34,19,1.55442,1.55372,1.554004176,0.0007,132857.1429,-0.000324704
12/5/22 0:40,20,1.5539171,1.55302,1.553328505,0.0008971,188384.7955,-0.000434793
12/5/22 0:46,21,1.55442,1.55336,1.553905778,0.00106,130188.6792,0.000371636
12/5/22 0:52,22,1.55515,1.5542434,1.554529478,0.0009066,152217.0748,0.000401376
12/5/22 0:57,23,1.55575,1.55479,1.555325848,0.00096,170833.3333,0.00051229
12/5/22 1:04,24,1.55573,1.55495,1.555329317,0.00078,207692.3077,2.23E-06
12/5/22 1:09,25,1.55573015,1.55493,1.555358789,0.00080015,219958.7577,1.89E-05
12/5/22 1:15,26,1.55593625,1.55532,1.555548045,0.00061625,254766.7343,0.00012168
12/5/22 1:22,27,1.55554,1.55493,1.555226121,0.00061,308196.7213,-0.000206952
