inserttime,period,maximum,minimum,mean,volatility,fd,return
12/4/22 22:40,1,1.3451,1.3447,1.34490624,0.0004,0,0
12/4/22 22:47,2,1.345,1.3446,1.344827139,0.0004,887500,-5.88E-05
12/4/22 22:53,3,1.345125,1.344765,1.344944347,0.00036,891666.6667,8.72E-05
12/4/22 23:00,4,1.3451,1.3447,1.344845542,0.0004,930000,-7.35E-05
12/4/22 23:07,5,1.345,1.34463,1.344772931,0.00037,935135.1351,-5.40E-05
12/4/22 23:13,6,1.3448,1.3437,1.344228681,0.0011,460000,-0.000404715
12/4/22 23:20,7,1.3441,1.343645,1.343908514,0.000455,265934.0659,-0.000238179
12/4/22 23:27,8,1.344515,1.3438,1.344163778,0.000715,481118.8811,0.000189941
12/4/22 23:34,9,1.3449,1.344395,1.344689778,0.000505,326732.6733,0.000391321
12/4/22 23:40,10,1.345,1.3447,1.344830875,0.0003,876666.6667,0.000104929
12/4/22 23:46,11,1.3451,1.3446,1.344877931,0.0005,1028000,3.50E-05
12/4/22 23:52,12,1.3451,1.3448,1.344986639,0.0003,746666.6667,8.08E-05
12/4/22 23:57,13,1.34532,1.345,1.345134722,0.00032,1881250,0.0001101
12/5/22 0:03,14,1.3454,1.34491,1.345196111,0.00049,955102.0408,4.56E-05
12/5/22 0:09,15,1.3455,1.3451,1.345292625,0.0004,905000,7.17E-05
12/5/22 0:15,16,1.3455,1.3452,1.345374917,0.0003,1006666.667,6.12E-05
12/5/22 0:21,17,1.345435,1.3452,1.345308444,0.000235,1114893.617,-4.94E-05
12/5/22 0:28,18,1.34543,1.344985,1.345214167,0.000445,1346067.416,-7.01E-05
12/5/22 0:34,19,1.3452,1.344435,1.344830833,0.000765,518954.2484,-0.000284961
12/5/22 0:40,20,1.3449,1.344265,1.344565875,0.000635,382677.1654,-0.00019702
12/5/22 0:46,21,1.3454,1.344785,1.345095028,0.000615,424390.2439,0.000393549
12/5/22 0:52,22,1.345865,1.345255,1.345444875,0.00061,357377.0492,0.000260091
12/5/22 0:57,23,1.3462,1.345515,1.345820556,0.000685,462773.7226,0.000279224
12/5/22 1:04,24,1.34581,1.345415,1.345647319,0.000395,415189.8734,-0.000128722
12/5/22 1:09,25,1.3462,1.3455,1.345811056,0.0007,572857.1429,0.000121678
12/5/22 1:15,26,1.3464,1.345865,1.346110458,0.000535,396261.6822,0.00022247
12/5/22 1:22,27,1.3463,1.3456,1.345831111,0.0007,338571.4286,-0.000207522
12/5/22 1:27,28,1.34602,1.3456,1.34582925,0.00042,569047.619,-1.38E-06
12/5/22 1:34,29,1.34603,1.3456,1.345819528,0.00043,562790.6977,-7.22E-06
12/5/22 1:40,30,1.3461,1.3456,1.345856597,0.0005,822000,2.75E-05
12/5/22 1:45,31,1.3464,1.345995,1.346182417,0.000405,777777.7778,0.000242091
12/5/22 1:51,32,1.3463,1.346,1.346137097,0.0003,1106666.667,-3.37E-05
12/5/22 1:57,33,1.3465,1.3459,1.346155264,0.0006,1305000,1.35E-05
12/5/22 2:03,34,1.3477,1.34626,1.346949431,0.00144,286805.5556,0.000589952
12/5/22 2:10,35,1.348025,1.3475,1.347816111,0.000525,335238.0952,0.00064344
12/5/22 2:15,36,1.349165,1.347765,1.348535722,0.0014,371428.5714,0.000533909
12/5/22 2:21,37,1.3484,1.34768,1.348034028,0.00072,193055.5556,-0.000372029
12/5/22 2:28,38,1.347815,1.3472,1.347558208,0.000615,383739.8374,-0.000352973
12/5/22 2:34,39,1.3478,1.3471,1.347413542,0.0007,345714.2857,-0.000107355
12/5/22 2:39,40,1.34773,1.3471,1.347330014,0.00063,314285.7143,-6.20E-05
12/5/22 2:46,41,1.3483,1.347445,1.347889875,0.000855,325146.1988,0.000415534
12/5/22 2:52,42,1.348965,1.348075,1.348577403,0.00089,244943.8202,0.000510077
12/5/22 2:58,43,1.3486,1.348245,1.348395222,0.000355,842253.5211,-0.000135091
12/5/22 3:04,44,1.348715,1.348085,1.348382514,0.00063,777777.7778,-9.42E-06
12/5/22 3:11,45,1.34893,1.348,1.348437847,0.00093,260215.0538,4.10E-05
12/5/22 3:17,46,1.3489,1.347975,1.348494847,0.000925,300540.5405,4.23E-05
12/5/22 3:24,47,1.3489,1.348275,1.348530069,0.000625,289600,2.61E-05
12/5/22 3:31,48,1.349,1.348395,1.348687444,0.000605,571900.8264,0.000116701
12/5/22 3:37,49,1.349,1.3484,1.348685083,0.0006,543333.3333,-1.75E-06
12/5/22 3:43,50,1.349175,1.3486,1.348811125,0.000575,610434.7826,9.35E-05
12/5/22 3:49,51,1.3494,1.3489,1.34907725,0.0005,524000,0.000197303
12/5/22 3:55,52,1.3491,1.3482,1.348535431,0.0009,480000,-0.000401622
12/5/22 4:01,53,1.348755,1.348245,1.348509542,0.00051,445098.0392,-1.92E-05
