inserttime,period,maximum,minimum,mean,volatilty,fd,return
11/29/22 16:28,1,1.1952,1.1947,1.194991894,0.0005,0,0
11/29/22 16:34,2,1.1953,1.1949,1.195026819,0.0004,725000,2.92E-05
11/29/22 16:41,3,1.1951,1.1948,1.194958736,0.0003,1176666.667,-5.70E-05
11/29/22 16:48,4,1.1952,1.1948,1.194989,0.0004,1322500,2.53E-05
11/29/22 16:54,5,1.1952,1.1948,1.195019847,0.0004,1160000,2.58E-05
11/29/22 17:00,6,1.1954,1.1949,1.195100181,0.0005,1264000,6.72E-05
11/29/22 17:06,7,1.1964,1.19512,1.195887861,0.00128,282812.5,0.000659092
11/29/22 17:12,8,1.1965,1.1956,1.195963569,0.0009,187777.7778,6.33E-05
11/29/22 17:19,9,1.1962,1.19554,1.195973014,0.00066,296969.697,7.90E-06
11/29/22 17:25,10,1.1961,1.19549,1.195869042,0.00061,359016.3934,-8.69E-05
11/29/22 17:31,11,1.19605,1.195325,1.195602014,0.000725,609655.1724,-0.000223292
11/29/22 17:37,12,1.19635,1.195145,1.195523472,0.001205,474688.7967,-6.57E-05
11/29/22 17:43,13,1.19595,1.195305,1.195501458,0.000645,364341.0853,-1.84E-05
11/29/22 17:49,14,1.1958,1.195465,1.195618597,0.000335,919402.9851,9.80E-05
11/29/22 17:56,15,1.19595,1.19526,1.195520528,0.00069,1143478.261,-8.20E-05
11/29/22 18:02,16,1.1958,1.195,1.195374556,0.0008,400000,-0.000122099
11/29/22 18:07,17,1.1953,1.19467,1.195008069,0.00063,280952.381,-0.000306587
11/29/22 18:14,18,1.19511,1.1947,1.194928083,0.00041,634146.3415,-6.69E-05
11/29/22 18:19,19,1.19514,1.1947,1.19486625,0.00044,1147727.273,-5.17E-05
11/29/22 18:25,20,1.195,1.19474,1.194867736,0.00026,1450000,1.24E-06
11/29/22 18:31,21,1.194905,1.1945,1.194692903,0.000405,1481481.481,-0.00014632
11/29/22 18:37,22,1.1947,1.1942,1.194527764,0.0005,688000,-0.000138227
11/29/22 18:43,23,1.1945,1.194145,1.194355486,0.000355,833802.8169,-0.000144222
11/29/22 18:49,24,1.1945,1.1941,1.194314569,0.0004,937500,-3.43E-05
11/29/22 18:55,25,1.19445,1.1941,1.194285,0.00035,1225714.286,-2.48E-05
11/29/22 19:01,26,1.19468,1.194175,1.194338319,0.000505,1091089.109,4.46E-05
11/29/22 19:08,27,1.194625,1.194265,1.194434583,0.00036,722222.2222,8.06E-05
11/29/22 19:14,28,1.1955,1.194575,1.194889375,0.000925,492972.973,0.000380759
11/29/22 19:21,29,1.1957,1.195265,1.195488194,0.000435,425287.3563,0.000501151
11/29/22 19:28,30,1.196115,1.195545,1.195882958,0.00057,700000,0.000330211
11/29/22 19:34,31,1.1965,1.19547,1.195875958,0.00103,332038.835,-5.85E-06
11/29/22 19:40,32,1.19681,1.1961,1.196475167,0.00071,260563.3803,0.000501062
11/29/22 19:46,33,1.1969,1.1965,1.196693458,0.0004,562500,0.000182446
11/29/22 19:53,34,1.197155,1.196605,1.196887417,0.00055,807272.7273,0.000162079
11/29/22 19:59,35,1.1977,1.196425,1.196964819,0.001275,310588.2353,6.47E-05
11/29/22 20:05,36,1.197765,1.19717,1.197409264,0.000595,258823.5294,0.00037131
11/29/22 20:11,37,1.19765,1.196785,1.197181167,0.000865,301734.104,-0.000190492
11/29/22 20:19,38,1.1975,1.19684,1.197149667,0.00066,351515.1515,-2.63E-05
11/29/22 20:26,39,1.19725,1.1968,1.197074556,0.00045,524444.4444,-6.27E-05
11/29/22 20:33,40,1.19756,1.196545,1.197034708,0.001015,338916.2562,-3.33E-05
11/29/22 20:41,41,1.19852,1.1973,1.197935514,0.00122,177049.1803,0.000752531
11/29/22 20:47,42,1.198895,1.1982,1.198605333,0.000695,227338.1295,0.000559145
11/29/22 20:54,43,1.1991,1.1984,1.198731556,0.0007,354285.7143,0.000105308
11/29/22 21:01,44,1.198685,1.197825,1.198264417,0.00086,317441.8605,-0.000389694
11/29/22 21:07,45,1.1985,1.19766,1.198135347,0.00084,227380.9524,-0.000107714
11/29/22 21:14,46,1.1984,1.1973,1.197878833,0.0011,209090.9091,-0.000214094
11/29/22 21:21,47,1.1979,1.1974,1.197628764,0.0005,330000,-0.00020876
11/29/22 21:27,48,1.1978,1.197445,1.19764325,0.000355,915492.9577,1.21E-05
11/29/22 21:33,49,1.1976,1.197135,1.197354972,0.000465,821505.3763,-0.000240704
11/29/22 21:39,50,1.1978,1.197265,1.197613319,0.000535,624299.0654,0.000215765
11/29/22 21:45,51,1.19792,1.1972,1.197632708,0.00072,394444.4444,1.62E-05
11/29/22 21:51,52,1.1981,1.197475,1.197788333,0.000625,433600,0.000129944
11/29/22 21:58,53,1.1984,1.1977,1.198086431,0.0007,382857.1429,0.000248873
11/29/22 22:03,54,1.1984,1.197895,1.198166597,0.000505,398019.802,6.69E-05
11/29/22 22:10,55,1.1984,1.1979,1.198105833,0.0005,642000,-5.07E-05
11/29/22 22:16,56,1.1981,1.1975,1.197842319,0.0006,601666.6667,-0.000219942
11/29/22 22:22,57,1.1977,1.1971,1.197421681,0.0006,451666.6667,-0.000351164
11/29/22 22:28,58,1.19765,1.197,1.197384694,0.00065,381538.4615,-3.09E-05
11/29/22 22:34,59,1.198,1.197,1.197473139,0.001,307000,7.39E-05
11/29/22 22:40,60,1.1979,1.1975,1.197686361,0.0004,385000,0.00017806
11/29/22 22:47,61,1.1981,1.1976,1.197857486,0.0005,698000,0.00014288
11/29/22 22:53,62,1.1982,1.197675,1.197918556,0.000525,554285.7143,5.10E-05
11/29/22 22:59,63,1.1982,1.1978,1.197981931,0.0004,652500,5.29E-05
11/29/22 23:05,64,1.198565,1.197825,1.198174736,0.00074,562162.1622,0.000160942
11/29/22 23:11,65,1.1986,1.1981,1.198348556,0.0005,352000,0.00014507
11/29/22 23:17,66,1.1987,1.1983,1.198455972,0.0004,780000,8.96E-05
11/29/22 23:23,67,1.1989,1.1983,1.198640375,0.0006,826666.6667,0.000153867
11/29/22 23:29,68,1.199275,1.198735,1.199041194,0.00054,431481.4815,0.000334395
11/29/22 23:35,69,1.198905,1.1985,1.198634014,0.000405,1009876.543,-0.000339588
11/29/22 23:41,70,1.1995,1.1986,1.199047722,0.0009,545555.5556,0.00034515
11/29/22 23:47,71,1.1994,1.198865,1.199094028,0.000535,388785.0467,3.86E-05
11/29/22 23:53,72,1.1992,1.1987,1.198965194,0.0005,756000,-0.000107442
11/29/22 23:59,73,1.199,1.1986,1.198804431,0.0004,907500,-0.000134086
11/30/22 0:04,74,1.1988,1.198365,1.198619653,0.000435,1101149.425,-0.000154135
11/30/22 0:10,75,1.1992,1.1984,1.198814611,0.0008,627500,0.000162652
11/30/22 0:16,76,1.19935,1.198855,1.199038542,0.000495,545454.5455,0.000186793
11/30/22 0:22,77,1.199205,1.198695,1.198912819,0.00051,835294.1176,-0.000104853
11/30/22 0:28,78,1.199185,1.1987,1.198918028,0.000485,915463.9175,4.34E-06
11/30/22 0:33,79,1.1992,1.1985,1.198886625,0.0007,682857.1429,-2.62E-05
11/30/22 0:39,80,1.199015,1.1984,1.198772569,0.000615,539837.3984,-9.51E-05
11/30/22 0:45,81,1.198915,1.198455,1.198753431,0.00046,865217.3913,-1.60E-05
11/30/22 0:51,82,1.199225,1.198535,1.198853611,0.00069,569565.2174,8.36E-05
11/30/22 0:57,83,1.19931,1.198525,1.198987653,0.000785,340127.3885,0.000111808
11/30/22 1:03,84,1.1986,1.1976,1.198138708,0.001,199000,-0.000708051
11/30/22 1:09,85,1.1981,1.197525,1.197787153,0.000575,325217.3913,-0.000293418
11/30/22 1:15,86,1.198,1.1975,1.197785417,0.0005,560000,-1.45E-06
11/30/22 1:20,87,1.1984,1.19784,1.1980485,0.00056,583928.5714,0.000219641
11/30/22 1:26,88,1.1986,1.19681,1.197778681,0.00179,252513.9665,-0.000225216
11/30/22 1:32,89,1.1971,1.19545,1.196570681,0.00165,109090.9091,-0.001008534
11/30/22 1:38,90,1.196505,1.195035,1.195787458,0.00147,121768.7075,-0.000654556
11/30/22 1:44,91,1.196,1.19523,1.19562025,0.00077,171428.5714,-0.000139831
11/30/22 1:50,92,1.1959,1.195365,1.195623542,0.000535,476635.514,2.75E-06
11/30/22 1:55,93,1.196,1.195005,1.195507833,0.000995,432160.804,-9.68E-05
11/30/22 2:01,94,1.19635,1.19561,1.195955694,0.00074,298648.6486,0.00037462
11/30/22 2:07,95,1.196965,1.195955,1.196368556,0.00101,335643.5644,0.000345214
11/30/22 2:13,96,1.197285,1.196375,1.19678825,0.00091,307692.3077,0.000350807
11/30/22 2:19,97,1.197365,1.1962,1.196965736,0.001165,210300.4292,0.000148302
11/30/22 2:25,98,1.196515,1.19531,1.195759944,0.001205,196680.4979,-0.001007374
11/30/22 2:30,99,1.1963,1.1955,1.19595,0.0008,297500,0.000158941
11/30/22 2:36,100,1.1967,1.196195,1.196438597,0.000505,457425.7426,0.000408543
