inserttime,period,maximum,minimum,mean,volatilty,fd,return
11/29/22 16:28,1,1.03315,1.03275,1.032920418,0.0004,0,0
11/29/22 16:34,2,1.03295,1.03257,1.032733319,0.00038,900000,-0.000181135
11/29/22 16:41,3,1.03285,1.03255,1.032633667,0.0003,1070000,-9.65E-05
11/29/22 16:48,4,1.033,1.03255,1.032710764,0.00045,1035555.556,7.47E-05
11/29/22 16:54,5,1.032895,1.03255,1.032701333,0.000345,884057.971,-9.13E-06
11/29/22 17:00,6,1.03305,1.032825,1.032917889,0.000225,1408888.889,0.000209698
11/29/22 17:06,7,1.03375,1.03285,1.033238847,0.0009,530000,0.00031073
11/29/22 17:12,8,1.03355,1.03295,1.033220722,0.0006,260000,-1.75E-05
11/29/22 17:19,9,1.03365,1.03316,1.033331139,0.00049,512244.898,0.000106866
11/29/22 17:25,10,1.03325,1.03295,1.033079319,0.0003,976666.6667,-0.000243697
11/29/22 17:31,11,1.03325,1.03265,1.032897681,0.0006,1183333.333,-0.000175823
11/29/22 17:37,12,1.03305,1.032655,1.032874875,0.000395,746835.443,-2.21E-05
11/29/22 17:43,13,1.03305,1.032595,1.032853181,0.000455,969230.7692,-2.10E-05
11/29/22 17:49,14,1.03305,1.03274,1.032894806,0.00031,1593548.387,4.03E-05
11/29/22 17:56,15,1.03315,1.032735,1.032870653,0.000415,1428915.663,-2.34E-05
11/29/22 18:02,16,1.03315,1.032675,1.032869431,0.000475,1006315.789,-1.18E-06
11/29/22 18:07,17,1.03295,1.03235,1.03262225,0.0006,500000,-0.000239314
11/29/22 18:14,18,1.03275,1.031925,1.032225083,0.000825,430303.0303,-0.00038462
11/29/22 18:19,19,1.03245,1.031965,1.032143292,0.000485,474226.8041,-7.92E-05
11/29/22 18:25,20,1.03255,1.032225,1.032340125,0.000325,944615.3846,0.000190703
11/29/22 18:31,21,1.03265,1.032305,1.032422389,0.000345,1171014.493,7.97E-05
11/29/22 18:37,22,1.03255,1.03223,1.032327347,0.00032,1290625,-9.21E-05
11/29/22 18:43,23,1.03245,1.03205,1.032206778,0.0004,1070000,-0.000116794
11/29/22 18:49,24,1.03235,1.03205,1.032194903,0.0003,1130000,-1.15E-05
11/29/22 18:55,25,1.03235,1.03205,1.032142236,0.0003,1766666.667,-5.10E-05
