inserttime,period,maximum,minimum,mean,volatilty,fd,return
11/29/22 16:28,1,1.35855,1.35805,1.358317981,0.0005,0,0
11/29/22 16:34,2,1.35865,1.35805,1.358323014,0.0006,730000,3.71E-06
11/29/22 16:41,3,1.35855,1.35805,1.358263972,0.0005,600000,-4.35E-05
11/29/22 16:48,4,1.35835,1.35795,1.358129042,0.0004,767500,-9.93E-05
11/29/22 16:54,5,1.35825,1.35795,1.358046417,0.0003,1246666.667,-6.08E-05
11/29/22 17:00,6,1.35825,1.35785,1.357986736,0.0004,1557500,-4.39E-05
11/29/22 17:06,7,1.35825,1.35785,1.357939875,0.0004,912500,-3.45E-05
11/29/22 17:12,8,1.35835,1.35785,1.35799675,0.0005,752000,4.19E-05
11/29/22 17:19,9,1.35825,1.35785,1.358024833,0.0004,782500,2.07E-05
11/29/22 17:25,10,1.35825,1.35789,1.358004278,0.00036,1283333.333,-1.51E-05
11/29/22 17:31,11,1.359015,1.35785,1.35807675,0.001165,630901.2876,5.34E-05
11/29/22 17:37,12,1.35835,1.35805,1.358195056,0.0003,396666.6667,8.71E-05
11/29/22 17:43,13,1.35835,1.358005,1.358141208,0.000345,1704347.826,-3.96E-05
11/29/22 17:49,14,1.35825,1.357945,1.358071917,0.000305,1600000,-5.10E-05
11/29/22 17:56,15,1.35815,1.35795,1.358004556,0.0002,1220000,-4.96E-05
11/29/22 18:02,16,1.35935,1.35795,1.358298653,0.0014,829285.7143,0.000216566
11/29/22 18:07,17,1.35905,1.358285,1.358633875,0.000765,235294.1176,0.000246796
11/29/22 18:14,18,1.35925,1.35875,1.358922361,0.0005,532000,0.000212335
11/29/22 18:19,19,1.35945,1.35905,1.359189556,0.0004,810000,0.000196622
11/29/22 18:25,20,1.35925,1.35895,1.359074236,0.0003,936666.6667,-8.48E-05
11/29/22 18:31,21,1.35935,1.35895,1.359125764,0.0004,1387500,3.79E-05
11/29/22 18:37,22,1.35955,1.35915,1.359263889,0.0004,977500,0.000101628
11/29/22 18:43,23,1.35955,1.35925,1.359366792,0.0003,820000,7.57E-05
11/29/22 18:49,24,1.35955,1.35885,1.359126389,0.0007,712857.1429,-0.000176849
11/29/22 18:55,25,1.35925,1.35885,1.359026972,0.0004,520000,-7.31E-05
11/29/22 19:01,26,1.35915,1.358425,1.358783486,0.000725,655172.4138,-0.000179162
11/29/22 19:08,27,1.35935,1.35865,1.358963986,0.0007,451428.5714,0.000132839
11/29/22 19:14,28,1.35915,1.35825,1.358684764,0.0009,376666.6667,-0.000205467
11/29/22 19:21,29,1.35885,1.3582,1.358556431,0.00065,416923.0769,-9.45E-05
11/29/22 19:28,30,1.35865,1.35822,1.358366306,0.00043,758139.5349,-0.000139946
11/29/22 19:34,31,1.359015,1.35805,1.35847525,0.000965,550259.0674,8.02E-05
11/29/22 19:40,32,1.35855,1.35797,1.358231431,0.00058,306896.5517,-0.00017948
11/29/22 19:46,33,1.35815,1.35781,1.357957764,0.00034,788235.2941,-0.000201488
11/29/22 19:53,34,1.358655,1.35785,1.358139056,0.000805,563975.1553,0.000133503
11/29/22 19:59,35,1.35905,1.35835,1.358763069,0.0007,390000,0.000459462
11/29/22 20:05,36,1.35855,1.35782,1.358168486,0.00073,379452.0548,-0.000437592
11/29/22 20:11,37,1.35835,1.35785,1.358083708,0.0005,586000,-6.24E-05
11/29/22 20:19,38,1.35835,1.3576,1.357965847,0.00075,582666.6667,-8.68E-05
11/29/22 20:26,39,1.35835,1.35784,1.358013111,0.00051,396078.4314,3.48E-05
11/29/22 20:33,40,1.358745,1.35773,1.358158125,0.001015,302463.0542,0.000106784
11/29/22 20:41,41,1.35835,1.35731,1.357607972,0.00104,290384.6154,-0.000405073
11/29/22 20:47,42,1.35775,1.35714,1.357355056,0.00061,349180.3279,-0.000186296
11/29/22 20:54,43,1.35785,1.35728,1.357541347,0.00057,475438.5965,0.000137246
11/29/22 21:01,44,1.358465,1.357725,1.358059139,0.00074,489189.1892,0.000381419
11/29/22 21:07,45,1.35875,1.35781,1.358149264,0.00094,275531.9149,6.64E-05
11/29/22 21:14,46,1.35855,1.35796,1.358241903,0.00059,323728.8136,6.82E-05
11/29/22 21:21,47,1.35855,1.35805,1.358284958,0.0005,688000,3.17E-05
11/29/22 21:27,48,1.35855,1.35811,1.358280417,0.00044,870454.5455,-3.34E-06
11/29/22 21:33,49,1.358455,1.35795,1.358269944,0.000505,758415.8416,-7.71E-06
11/29/22 21:39,50,1.358175,1.35765,1.357871264,0.000525,672380.9524,-0.000293521
11/29/22 21:45,51,1.35835,1.35755,1.357848736,0.0008,425000,-1.66E-05
11/29/22 21:51,52,1.35805,1.35755,1.357714361,0.0005,484000,-9.90E-05
11/29/22 21:58,53,1.35785,1.35723,1.357497514,0.00062,609677.4194,-0.000159715
11/29/22 22:04,54,1.35765,1.35705,1.357357569,0.0006,433333.3333,-0.00010309
11/29/22 22:10,55,1.35745,1.35705,1.357247139,0.0004,555000,-8.14E-05
11/29/22 22:16,56,1.35765,1.35715,1.357343139,0.0005,950000,7.07E-05
11/29/22 22:22,57,1.35775,1.35735,1.357574778,0.0004,692500,0.000170656
11/29/22 22:28,58,1.357665,1.35717,1.357393903,0.000495,933333.3333,-0.000133234
11/29/22 22:34,59,1.35775,1.35705,1.357396903,0.0007,614285.7143,2.21E-06
11/29/22 22:40,60,1.35745,1.357035,1.357190444,0.000415,508433.7349,-0.000152099
11/29/22 22:47,61,1.35735,1.35671,1.356990722,0.00064,640625,-0.000147159
11/29/22 22:53,62,1.35735,1.35681,1.357042833,0.00054,535185.1852,3.84E-05
11/29/22 22:59,63,1.35715,1.35669,1.356882167,0.00046,821739.1304,-0.000118395
11/29/22 23:05,64,1.35695,1.35633,1.356539097,0.00062,480645.1613,-0.000252837
11/29/22 23:11,65,1.35725,1.35662,1.356929847,0.00063,319047.619,0.000288049
