inserttime,period,maximum,minimum,mean,volatilty,fd,return
11/29/22 16:28,1,0.954305,0.9534,0.954061913,0.000905,0,0
11/29/22 16:34,2,0.954495,0.9537,0.954291166,0.000795,757232.7044,0.000240292
11/29/22 16:41,3,0.9545,0.9537,0.954295811,0.0008,696250,4.87E-06
11/29/22 16:48,4,0.9544,0.9533,0.954166564,0.0011,730000,-0.000135437
11/29/22 16:54,5,0.9543857,0.9535,0.95417469,0.0008857,492266.0043,8.52E-06
11/29/22 17:00,6,0.95429045,0.953,0.953881163,0.00129045,405284.9781,-0.000307625
11/29/22 17:06,7,0.95385,0.9518475,0.952523421,0.0020025,84394.50687,-0.001423387
11/29/22 17:12,8,0.9533484,0.952,0.952482395,0.0013484,117175.9122,-4.31E-05
11/29/22 17:19,9,0.95359535,0.9524,0.952833887,0.00119535,158949.2617,0.000369027
11/29/22 17:25,10,0.9535231,0.9521,0.952452647,0.0014231,122268.2875,-0.000400112
11/29/22 17:31,11,0.95372,0.9522,0.952633118,0.00152,137500,0.00018948
11/29/22 17:37,12,0.953785,0.9528908,0.953427809,0.0008942,257213.1514,0.000834205
11/29/22 17:43,13,0.9539,0.952604,0.953586102,0.001296,280092.5926,0.000166025
11/29/22 17:49,14,0.95395,0.9528,0.953454712,0.00115,280000,-0.000137785
11/29/22 17:56,15,0.95388955,0.9532,0.95362659,0.00068955,430715.6841,0.000180268
11/29/22 18:02,16,0.95419,0.95288685,0.953590219,0.00130315,521045.1598,-3.81E-05
11/29/22 18:07,17,0.95447485,0.9535,0.954133268,0.00097485,389803.5595,0.000569478
11/29/22 18:14,18,0.95457,0.9537,0.954282492,0.00087,755172.4138,0.000156397
11/29/22 18:19,19,0.9548,0.9536,0.954399184,0.0012,575000,0.000122283
11/29/22 18:25,20,0.9545,0.9537,0.954341996,0.0008,310000,-5.99E-05
11/29/22 18:31,21,0.955,0.9536,0.954266736,0.0014,334285.7143,-7.89E-05
11/29/22 18:37,22,0.9545,0.9538,0.954347889,0.0007,432857.1429,8.50E-05
11/29/22 18:43,23,0.95459,0.9537,0.95435539,0.00089,1089887.64,7.86E-06
11/29/22 18:49,24,0.95464,0.9539,0.954442837,0.00074,860810.8108,9.16E-05
11/29/22 18:55,25,0.9546,0.9538,0.954458268,0.0008,1081250,1.62E-05
11/29/22 19:01,26,0.95461,0.954,0.954504696,0.00061,931147.541,4.86E-05
11/29/22 19:08,27,0.9547,0.9541,0.954513689,0.0006,1575000,9.42E-06
11/29/22 19:14,28,0.95465,0.9536,0.954318235,0.00105,866666.6667,-0.000204769
11/29/22 19:21,29,0.9542,0.9535,0.953938366,0.0007,662857.1429,-0.000398052
11/29/22 19:28,30,0.9541489,0.9533,0.953845864,0.0008489,804570.6208,-9.70E-05
11/29/22 19:34,31,0.95426,0.9533,0.953902163,0.00096,345833.3333,5.90E-05
11/29/22 19:40,32,0.9537,0.9531,0.953564062,0.0006,516666.6667,-0.00035444
11/29/22 19:46,33,0.9538362,0.9533,0.953645716,0.0005362,785154.793,8.56E-05
11/29/22 19:53,34,0.95406,0.9532,0.953762583,0.00086,697674.4186,0.000122548
11/29/22 19:59,35,0.9541,0.953,0.953545014,0.0011,320909.0909,-0.000228117
11/29/22 20:05,36,0.9536,0.953,0.953367491,0.0006,360000,-0.000186172
11/29/22 20:11,37,0.95362,0.953,0.953384038,0.00062,769354.8387,1.74E-05
11/29/22 20:19,38,0.95375,0.9531,0.953457701,0.00065,670769.2308,7.73E-05
11/29/22 20:26,39,0.9536,0.953,0.953432659,0.0006,541666.6667,-2.63E-05
11/29/22 20:33,40,0.95397,0.953335,0.953626042,0.000635,277165.3543,0.000202829
11/29/22 20:41,41,0.95353,0.9527,0.953173833,0.00083,469879.5181,-0.0004742
11/29/22 20:47,42,0.95298,0.9523,0.952619417,0.00068,398529.4118,-0.000581653
11/29/22 20:54,43,0.9527,0.9524,0.95258784,0.0003,1076666.667,-3.31E-05
11/29/22 21:01,44,0.95296,0.9524,0.952752361,0.00056,1287500,0.00017271
11/29/22 21:07,45,0.95311,0.9525,0.952878861,0.00061,783606.5574,0.000132774
11/29/22 21:14,46,0.9533,0.9526,0.952952009,0.0007,491428.5714,7.68E-05
11/29/22 21:21,47,0.95329855,0.9529,0.953182101,0.00039855,594655.6266,0.000241452
11/29/22 21:27,48,0.95340705,0.9529,0.953233066,0.00050705,1842027.413,5.35E-05
11/29/22 21:33,49,0.95371,0.9531,0.953520259,0.00061,1142622.951,0.000301283
