inserttime,period,maximum,minimum,mean,volatilty,fd,return
11/29/22 16:28,1,1.613355,1.612525,1.61289669,0.00083,0,0
11/29/22 16:34,2,1.613255,1.61238345,1.612793959,0.00087155,144570.0189,-6.37E-05
11/29/22 16:41,3,1.613255,1.612785,1.612966615,0.00047,165957.4468,0.000107054
11/29/22 16:48,4,1.6129036,1.61238345,1.612750403,0.00052015,326828.7994,-0.000134046
11/29/22 16:54,5,1.612655,1.61212355,1.612511288,0.00053145,242732.1479,-0.000148266
11/29/22 17:00,6,1.6126435,1.61134425,1.612423903,0.00129925,162401.3854,-5.42E-05
11/29/22 17:06,7,1.6137,1.61134425,1.612763069,0.00235575,70465.88135,0.000210345
11/29/22 17:12,8,1.6131638,1.612465,1.612821541,0.0006988,30051.51689,3.63E-05
11/29/22 17:19,9,1.612465,1.6116039,1.612105981,0.0008611,142840.5528,-0.000443669
11/29/22 17:25,10,1.61387,1.612035,1.612725892,0.001835,115531.3351,0.000384535
11/29/22 17:31,11,1.61394485,1.6132,1.613606051,0.00074485,93978.65342,0.000545759
11/29/22 17:37,12,1.613975,1.613155,1.613454136,0.00082,259756.0976,-9.41E-05
11/29/22 17:43,13,1.6136844,1.61238345,1.613202439,0.00130095,103001.6526,-0.000155999
11/29/22 17:49,14,1.61342405,1.612965,1.613186413,0.00045905,80601.24169,-9.93E-06
11/29/22 17:56,15,1.613725,1.6131638,1.613439398,0.0005612,279757.6622,0.000156823
11/29/22 18:02,16,1.614195,1.613205,1.613618793,0.00099,190909.0909,0.000111188
11/29/22 18:07,17,1.614505,1.613285,1.613947088,0.00122,125409.8361,0.000203453
11/29/22 18:14,18,1.614195,1.613595,1.613931735,0.0006,183333.3333,-9.51E-06
11/29/22 18:19,19,1.614605,1.613935,1.614335994,0.00067,500000,0.000250481
11/29/22 18:25,20,1.61464815,1.614345,1.614449428,0.00030315,639947.2208,7.03E-05
11/29/22 18:31,21,1.615025,1.614475,1.614635615,0.00055,930909.0909,0.000115325
