inserttime,period,maximum,minimum,mean,volatilty,fd,return
11/29/22 16:28,1,1.37492,1.37458,1.374760056,0.00034,0,0
11/29/22 16:34,2,1.3751,1.37468,1.374848125,0.00042,1092857.143,6.41E-05
11/29/22 16:41,3,1.3753,1.3748,1.375105569,0.0005,632000,0.000187253
11/29/22 16:48,4,1.37589,1.37497,1.375315958,0.00092,407608.6957,0.000152998
11/29/22 16:54,5,1.3759,1.37525,1.375598917,0.00065,372307.6923,0.000205741
11/29/22 17:00,6,1.3759,1.37187,1.375176597,0.00403,127295.2854,-0.000307008
11/29/22 17:06,7,1.375,1.3732,1.374151389,0.0018,42777.77778,-0.00074551
11/29/22 17:12,8,1.3748,1.3736,1.374283056,0.0012,104166.6667,9.58E-05
11/29/22 17:19,9,1.375065,1.3739,1.374336042,0.001165,161373.3906,3.86E-05
11/29/22 17:25,10,1.375025,1.37395,1.374340972,0.001075,200930.2326,3.59E-06
11/29/22 17:31,11,1.3756,1.373765,1.374696458,0.001835,161852.861,0.000258659
11/29/22 17:37,12,1.3757,1.37465,1.375233333,0.00105,211428.5714,0.000390541
11/29/22 17:43,13,1.376,1.37475,1.375249194,0.00125,423200,1.15E-05
11/29/22 17:49,14,1.3757,1.375,1.375348597,0.0007,367142.8571,7.23E-05
11/29/22 17:56,15,1.37545,1.374895,1.375210681,0.000555,387387.3874,-0.000100278
11/29/22 18:02,16,1.3753,1.374715,1.375020208,0.000585,535042.735,-0.000138504
11/29/22 18:07,17,1.375755,1.3748,1.375374042,0.000955,542408.377,0.00025733
11/29/22 18:14,18,1.37546,1.374875,1.375258306,0.000585,280341.8803,-8.41E-05
11/29/22 18:19,19,1.375625,1.3751,1.375261847,0.000525,500952.381,2.58E-06
11/29/22 18:25,20,1.376215,1.37535,1.375732681,0.000865,357225.4335,0.000342359
11/29/22 18:31,21,1.3759,1.3748,1.375677236,0.0011,199090.9091,-4.03E-05
11/29/22 18:37,22,1.3763,1.375275,1.375832931,0.001025,189268.2927,0.000113177
11/29/22 18:43,23,1.375875,1.37529,1.375627944,0.000585,158974.359,-0.000148991
11/29/22 18:49,24,1.3761,1.3757,1.375918972,0.0004,485000,0.00021156
11/29/22 18:55,25,1.3765,1.3757,1.375924694,0.0008,361250,4.16E-06
11/29/22 19:02,26,1.3765,1.3753,1.375868181,0.0012,168333.3333,-4.11E-05
11/29/22 19:08,27,1.3767,1.375945,1.376290903,0.000755,161589.404,0.00030724
11/29/22 19:14,28,1.3761,1.3751,1.375662819,0.001,276000,-0.000456359
11/29/22 19:21,29,1.3754,1.374795,1.3750925,0.000605,335537.1901,-0.000414578
11/29/22 19:28,30,1.3751,1.3748,1.374915972,0.0003,706666.6667,-0.000128375
11/29/22 19:34,31,1.3753,1.3748,1.375048556,0.0005,940000,9.64E-05
11/29/22 19:40,32,1.375025,1.3741,1.374630458,0.000925,314594.5946,-0.00030406
11/29/22 19:46,33,1.3745,1.374,1.374345667,0.0005,314000,-0.000207177
11/29/22 19:53,34,1.374805,1.3743,1.374473514,0.000505,693069.3069,9.30E-05
11/29/22 19:59,35,1.375,1.3743,1.374613556,0.0007,474285.7143,0.000101887
11/29/22 20:05,36,1.3745,1.373525,1.374048847,0.000975,230769.2308,-0.000410812
11/29/22 20:11,37,1.374135,1.3735,1.373901444,0.000635,176377.9528,-0.000107276
11/29/22 20:19,38,1.374675,1.3739,1.374233278,0.000775,305806.4516,0.000241526
11/29/22 20:26,39,1.3748,1.374435,1.374610639,0.000365,419178.0822,0.000274598
11/29/22 20:33,40,1.37489,1.373915,1.374602083,0.000975,421538.4615,-6.22E-06
11/29/22 20:41,41,1.374665,1.3735,1.373919139,0.001165,174248.927,-0.000496831
11/29/22 20:47,42,1.3736,1.3727,1.373021583,0.0009,196666.6667,-0.000653281
11/29/22 20:54,43,1.37331,1.3727,1.372936319,0.00061,370491.8033,-6.21E-05
11/29/22 21:01,44,1.374235,1.37328,1.373682542,0.000955,283769.6335,0.000543523
11/29/22 21:07,45,1.3744,1.3734,1.373818417,0.001,176000,9.89E-05
11/29/22 21:14,46,1.3743,1.3735,1.373942958,0.0008,203750,9.07E-05
11/29/22 21:21,47,1.3742,1.3739,1.374053944,0.0003,503333.3333,8.08E-05
11/29/22 21:27,48,1.3745,1.3741,1.374284653,0.0004,912500,0.000167903
11/29/22 21:33,49,1.374525,1.374105,1.374378625,0.00042,790476.1905,6.84E-05
11/29/22 21:39,50,1.374425,1.3739,1.374069806,0.000525,777142.8571,-0.000224698
11/29/22 21:45,51,1.3745,1.3738,1.374126875,0.0007,448571.4286,4.15E-05
11/29/22 21:51,52,1.3743,1.37389,1.374059153,0.00041,514634.1463,-4.93E-05
11/29/22 21:58,53,1.3742,1.3736,1.373806347,0.0006,663333.3333,-0.000183984
11/29/22 22:04,54,1.3739,1.3728,1.373267236,0.0011,308181.8182,-0.000392421
11/29/22 22:10,55,1.3733,1.3729,1.373119917,0.0004,412500,-0.000107277
11/29/22 22:16,56,1.3734,1.373,1.373174722,0.0004,1472500,3.99E-05
11/29/22 22:22,57,1.3734,1.3731,1.373277625,0.0003,1270000,7.49E-05
11/29/22 22:28,58,1.3733,1.3728,1.373060361,0.0005,1076000,-0.000158208
